Date,7-day hospitalizations average
12/23/2020,35.31914065
12/24/2020,35.41736542
12/25/2020,35.36825304
12/26/2020,36.32594451
12/27/2020,36.3750569
12/28/2020,35.27923684
12/29/2020,34.28471108
12/30/2020,33.62476342
12/31/2020,33.9163682
1/1/2021,34.63156728
1/2/2021,34.53334252
1/3/2021,34.50878633
1/4/2021,34.01766249
1/5/2021,33.3914796
1/6/2021,33.28097674
1/7/2021,33.0968053
1/8/2021,32.85738243
1/9/2021,31.34454562
1/10/2021,30.07639371
1/11/2021,29.64666036
1/12/2021,29.21078795
1/13/2021,28.6153003
1/14/2021,28.320626
1/15/2021,27.424325
1/16/2021,26.8349764
1/17/2021,27.38749072
1/18/2021,28.14259361
1/19/2021,28.0177663
1/20/2021,28.71352507
1/21/2021,27.68216502
1/22/2021,26.92706212
1/23/2021,26.8472545
1/24/2021,25.3616049
1/25/2021,23.8636772
1/26/2021,22.9673762
1/27/2021,21.75921157
1/28/2021,20.65909418
1/29/2021,19.53442059
1/30/2021,18.69459884
1/31/2021,18.54726169
2/1/2021,17.64482164
2/2/2021,16.7055473
2/3/2021,15.93939412
2/4/2021,15.01117007
2/5/2021,14.96205769
2/6/2021,14.56915862
2/7/2021,13.90614144
2/8/2021,13.68513572
2/9/2021,13.70355286
2/10/2021,13.66671857
2/11/2021,13.46412999
2/12/2021,12.35173451
2/13/2021,11.51191275
2/14/2021,10.95939843
2/15/2021,10.57263841
2/16/2021,10.09993172
2/17/2021,10.14904411
2/18/2021,10.79569049
2/19/2021,11.42596608
2/20/2021,11.99075849
2/21/2021,12.3897966
2/22/2021,13.03439664
2/23/2021,12.27069907
2/24/2021,11.43824417
2/25/2021,10.59105556
2/26/2021,9.780701229
2/27/2021,9.903482188
2/28/2021,10.10811712
3/1/2021,9.387802161
3/2/2021,10.14904411
3/3/2021,10.775227
3/4/2021,10.775227
3/5/2021,10.48055269
3/6/2021,10.32093745
3/7/2021,11.0453451
3/8/2021,10.92256415
3/9/2021,9.863578376
3/10/2021,9.166796435
3/11/2021,8.786175463
3/12/2021,8.25821734
3/13/2021,7.791649697
3/14/2021,7.104076328
3/15/2021,6.723455356
3/16/2021,7.165466807
3/17/2021,7.966612563
3/18/2021,8.46694497
3/19/2021,9.09312786
3/20/2021,9.044015476
3/21/2021,8.737063079
3/22/2021,9.148379291
3/23/2021,8.970346901
3/24/2021,8.724784984
3/25/2021,8.749341175
3/26/2021,8.583586881
3/27/2021,8.307329724
3/28/2021,8.46694497
3/29/2021,9.174981832
3/30/2021,9.878925996
3/31/2021,10.23499078
4/1/2021,10.89391526
4/2/2021,11.63469371
4/3/2021,12.52690201
4/4/2021,12.67219281
4/5/2021,12.17492993
4/6/2021,11.68380609
4/7/2021,12.13809564
4/8/2021,12.58829249
4/9/2021,13.39046142
4/10/2021,13.46412999
4/11/2021,13.4272957
4/12/2021,12.80111281
4/13/2021,12.30384993
4/14/2021,11.82500419
4/15/2021,11.45052227
4/16/2021,11.18961273
4/17/2021,12.36830994
4/18/2021,13.54700714
4/19/2021,14.618271
4/20/2021,15.28947358
4/21/2021,16.43542919
4/22/2021,16.39245586
4/23/2021,15.15236818
4/24/2021,13.99208811
4/25/2021,13.86930716
4/26/2021,13.85702906
4/27/2021,13.39046142
4/28/2021,12.53099471
4/29/2021,13.09578712
4/30/2021,14.29658489
5/1/2021,15.37951295
5/2/2021,15.68646535
5/3/2021,16.28809204
5/4/2021,17.08616828
5/5/2021,17.09844637
5/6/2021,16.63187873
5/7/2021,16.281953
5/8/2021,15.74785583
5/9/2021,15.45318152
5/10/2021,15.30584437
5/11/2021,15.42862533
5/12/2021,15.26901009
5/13/2021,15.08483865
5/14/2021,14.66738339
5/15/2021,14.49549005
5/16/2021,14.27448432
5/17/2021,13.86930716
5/18/2021,13.10806521
5/19/2021,13.61146714
5/20/2021,14.01664431
5/21/2021,13.4272957
5/22/2021,12.7090271
5/23/2021,12.58010709
5/24/2021,11.91708991
5/25/2021,11.80658705
5/26/2021,11.3645756
5/27/2021,10.92256415
5/28/2021,11.52419084
5/29/2021,11.40140988
5/30/2021,10.775227
5/31/2021,10.14904411
6/1/2021,9.473748832
6/2/2021,8.970346901
6/3/2021,8.847565942
6/4/2021,8.546752593
6/5/2021,8.552891641
6/6/2021,8.252078292
6/7/2021,8.380998299
6/8/2021,8.270495436
6/9/2021,8.012655423
6/10/2021,8.364627505
6/11/2021,7.975821135
6/12/2021,8.123158286
6/13/2021,8.31960782
6/14/2021,8.700228792
6/15/2021,8.823009751
6/16/2021,8.546752593
6/17/2021,8.123158286
6/18/2021,8.141575429
6/19/2021,7.607478259
6/20/2021,6.772567739
6/21/2021,6.078855322
6/22/2021,6.097272466
6/23/2021,5.655261014
6/24/2021,5.360586713
6/26/2021,5.151859083
6/27/2021,5.434255289
6/28/2021,5.434255289
6/29/2021,5.45881148
6/30/2021,5.747346733
7/1/2021,6.195497233
7/2/2021,6.26302676
7/3/2021,6.220053425
7/4/2021,6.576118205
7/5/2021,6.612952493
7/6/2021,7.079520136
7/7/2021,7.27596967
7/8/2021,7.386472533
7/9/2021,7.767093505
7/10/2021,8.094509395
7/11/2021,7.552226827
7/12/2021,7.539948731
7/13/2021,6.662064876
7/14/2021,7.202301095
7/15/2021,7.668868738
7/16/2021,7.423306821
7/17/2021,7.349638245
7/18/2021,7.546087779
7/19/2021,8.299962866
7/20/2021,9.277299298
7/21/2021,9.780701229
7/22/2021,9.743866941
7/23/2021,10.03854124
7/24/2021,10.44371841
7/25/2021,11.33694988
7/26/2021,11.91708991
7/27/2021,11.69608419
7/28/2021,12.21176421
7/29/2021,12.96072806
7/30/2021,13.99822716
7/31/2021,14.32973575
8/1/2021,13.85457344
8/2/2021,14.9375015
8/3/2021,15.67418725
8/4/2021,15.35495676
8/5/2021,15.46545962
8/6/2021,15.02344817
8/7/2021,15.19534151
8/8/2021,16.30650919
8/9/2021,17.58036163
8/10/2021,17.77374164
8/11/2021,18.40913311
8/12/2021,18.23621659
